id,phone,city,name,type,addr
71,212-620-4020,new york city,gotham bar & grill,american (new),12 e. 12th st.
72,212/477-0777,new york,gramercy tavern,american,42 e. 20th st.  between park ave. s and broadway
73,212-477-0777,new york city,gramercy tavern,american (new),42 e. 20th st.
74,212/765-1737,new york,island spice,tel caribbean,402 w. 44th st.
75,212-765-1737,new york city,island spice,caribbean,402 w. 44th st.
76,212/223-5656,new york,jo jo,american,160 e. 64th st.
77,212-223-5656,new york city,jo jo,french bistro,160 e. 64th st.
78,212/586-4252,new york,la caravelle,french,33 w. 55th st.
79,212-586-4252,new york city,la caravelle,french (classic),33 w. 55th st.
80,212/688-6525,new york,la cote basque,french,60 w. 55th st.  between 5th and 6th ave.
81,212-688-6525,new york city,la cote basque,french (classic),60 w. 55th st.
82,212/489-1515,new york,le bernardin,french,155 w. 51st st.
83,212-489-1515,new york city,le bernardin,seafood,155 w. 51st st.
84,212/484-5113,new york,les celebrites,french,160 central park s
85,212-484-5113,new york city,les celebrites,french (classic),155 w. 58th st.
86,212/339-6719,new york,lespinasse,american,2 e. 55th st.
87,212-339-6719,new york city,lespinasse (new york city),asian,2 e. 55th st.
88,212/752-2225,new york,lutece,french,249 e. 50th st.
89,212-752-2225,new york city,lutece,french (classic),249 e. 50th st.
90,212/ 371-7777,new york,manhattan ocean club,seafood,57 w. 58th st.
91,212-371-7777,new york city,manhattan ocean club,seafood,57 w. 58th st.
92,212/754-6272,new york,march,american,405 e. 58th st.
93,212-754-6272,new york city,march,american (new),405 e. 58th st.
94,212/807-7400,new york,mesa grill,american,102 5th ave.  between 15th and 16th sts.
95,212-807-7400,new york city,mesa grill,southwestern,102 fifth ave.
96,212/627-8273,new york,mi cocina,mexican,57 jane st.  off hudson st.
97,212-627-8273,new york city,mi cocina,mexican,57 jane st.
98,212/ 219-2777,new york,montrachet,french,239 w. broadway  between walker and white sts.
99,212-219-2777,new york city,montrachet,french bistro,239 w. broadway
100,212/759-5941,new york,oceana,seafood,55 e. 54th st.
101,212-759-5941,new york city,oceana,seafood,55 e. 54th st.
102,212/644-1900,new york,park avenue cafe,american,100 e. 63rd st.
103,212-644-1900,new york city,park avenue cafe (new york city),american (new),100 e. 63rd st.
104,212/245-2214,new york,petrossian,french,182 w. 58th st.
105,212-245-2214,new york city,petrossian,russian,182 w. 58th st.
106,212/724-8585,new york,picholine,mediterranean,35 w. 64th st.
107,212-724-8585,new york city,picholine,mediterranean,35 w. 64th st.
108,212/260-6660,new york,pisces,seafood,95 ave. a at 6th st.
109,212-260-6660,new york city,pisces,seafood,95 ave. a
110,212/632-5000,new york,rainbow room,or 212/632-5100 american,30 rockefeller plaza
111,212-632-5000,new york city,rainbow room,american (new),30 rockefeller plaza
112,718/522-5200,brooklyn,river cafe,american,1 water st. at the east river
113,718-522-5200,brooklyn,river cafe,american (new),1 water st.
114,212/265-5959,new york,san domenico,italian,240 central park s
115,212-265-5959,new york city,san domenico,italian,240 central park s.
116,212/677-0606,new york,second avenue deli,delicatessen,156 2nd ave. at 10th st.
117,212-677-0606,new york city,second avenue deli,delis,156 second ave.
118,212/980-9393,new york,seryna,asian,11 e. 53rd st.
119,212-980-9393,new york city,seryna,japanese,11 e. 53rd st.
120,212/371-8844,new york,shun lee west,asian,43 w. 65th st.
121,212-371-8844,new york city,shun lee palace,chinese,155 e. 55th st.
122,212/861-8080,new york,sign of the dove,american,1110 3rd ave. at 65th st.
123,212-861-8080,new york city,sign of the dove,american (new),1110 third ave.
124,212/753-1530,new york,smith & wollensky,american,201 e. 49th st.
125,212-753-1530,new york city,smith & wollensky,steakhouses,797 third ave.
126,212/873-3200,new york,tavern on the green,american,in central park at 67th st.
127,212-873-3200,new york city,tavern on the green,american (new),central park west
128,212/315-1726,new york,uncle nick's,mediterranean,747 9th ave.  between 50th and 51st sts.
129,212-245-7992,new york city,uncle nick's,greek,747 ninth ave.
130,212/243-4020,new york,union square cafe,american,21 e. 16th st.
131,212-243-4020,new york city,union square cafe,american (new),21 e. 16th st.
132,212/ 921-9494,new york,virgil's,american,152 w. 44th st.
133,212-921-9494,new york city,virgil's real bbq,bbq,152 w. 44th st.
134,702/733-8899,las vegas,chin's,asian,3200 las vegas blvd. s
135,702-733-8899,las vegas,chin's,chinese,3200 las vegas blvd. s.
136,702/891-7349,las vegas,coyote cafe,southwestern,3799 las vegas blvd. s
137,702-891-7349,las vegas,coyote cafe (las vegas),southwestern,3799 las vegas blvd. s.
138,702/732-5111,las vegas,le montrachet,continental,3000 w. paradise rd.
139,702-732-5651,las vegas,le montrachet bistro,french bistro,3000 paradise rd.
140,702/731-7547,las vegas,palace court,continental,3570 las vegas blvd. s
141,702-731-7110,las vegas,palace court,french (new),3570 las vegas blvd. s.
142,702/385-3232,las vegas,second street grille,seafood,200 e. fremont st.
143,702-385-6277,las vegas,second street grill,pacific rim,200 e. fremont st.
144,702/734-0410,las vegas,steak house,steak houses,2880 las vegas blvd. s
145,702-734-0410,las vegas,steak house  the,steakhouses,2880 las vegas blvd. s.
146,702/731-4036,las vegas,tillerman,seafood,2245 e. flamingo rd.
147,702-731-4036,las vegas,tillerman  the,steakhouses,2245 e. flamingo rd.
148,404/261-8186,atlanta,abruzzi,italian,2355 peachtree rd.  peachtree battle shopping center
149,404-261-8186,atlanta,abruzzi,italian,2355 peachtree rd. ne
150,404/365-0410,atlanta,bacchanalia,international,3125 piedmont rd.  near peachtree rd.
151,404-365-0410,atlanta,bacchanalia,californian,3125 piedmont rd.
152,404/237-2663,atlanta,bone's,american,3130 piedmont road
153,404-237-2663,atlanta,bone's restaurant,steakhouses,3130 piedmont rd. ne
154,404/266-1440,atlanta,brasserie le coze,french,3393 peachtree rd.  lenox square mall  near neiman marcus
155,404-266-1440,atlanta,brasserie le coze,french bistro,3393 peachtree rd.
156,404/262-3336,atlanta,buckhead diner,american,3073 piedmont road
157,404-262-3336,atlanta,buckhead diner,american (new),3073 piedmont rd.
158,404/874-7600,atlanta,ciboulette,french,1529 piedmont ave.
159,404-874-7600,atlanta,ciboulette restaurant,french (new),1529 piedmont ave.
160,404/681-2909,atlanta,delectables,american,1 margaret mitchell sq.
161,404-681-2909,atlanta,delectables,cafeterias,1 margaret mitchell sq.
162,404/352-3517,atlanta,georgia grille,american,2290 peachtree rd.  peachtree square shopping center
163,404-352-3517,atlanta,georgia grille,southwestern,2290 peachtree rd.
164,404/233-7673,atlanta,hedgerose heights inn,international,490 e. paces ferry rd.
165,404-233-7673,atlanta,hedgerose heights inn  the,continental,490 e. paces ferry rd. ne
166,404/876-4408,atlanta,heera of india,asian,595 piedmont ave.  rio shopping mall
167,404-876-4408,atlanta,heera of india,indian,595 piedmont ave.
168,404/876-0676,atlanta,indigo coastal grill,caribbean,1397 n. highland ave.
169,404-876-0676,atlanta,indigo coastal grill,eclectic,1397 n. highland ave.
170,404/231-1368,atlanta,la grotta,italian,2637 peachtree rd.  peachtree house condominium
171,404-231-1368,atlanta,la grotta,italian,2637 peachtree rd. ne
172,404/876-1800,atlanta,mary mac's tea room,southern,224 ponce de leon ave.
173,404-876-1800,atlanta,mary mac's tea room,southern/soul,224 ponce de leon ave.
174,404/221-6362,atlanta,nikolai's roof,continental,255 courtland st.  at harris st.
175,404-221-6362,atlanta,nikolai's roof,continental,255 courtland st.
176,404/261-3662,atlanta,pano's and paul's,international,1232 w. paces ferry rd.
177,404-261-3662,atlanta,pano's & paul's,american (new),1232 w. paces ferry rd.
178,404/237-2700,atlanta,cafe  ritz-carlton  buckhead,ext 6108 international,3434 peachtree rd.
179,404-237-2700,atlanta,ritz-carlton cafe (buckhead),american (new),3434 peachtree rd. ne
180,404/237-2700,atlanta,dining room  ritz-carlton  buckhead,international,3434 peachtree rd.
181,404-237-2700,atlanta,ritz-carlton dining room (buckhead),american (new),3434 peachtree rd. ne
182,404/659-0400,atlanta,restaurant  ritz-carlton  atlanta,continental,181 peachtree st.
183,404-659-0400,atlanta,ritz-carlton restaurant,french (classic),181 peachtree st.
184,404/351-9533,atlanta,toulouse,french,b peachtree rd.
185,404-351-9533,atlanta,toulouse,french (new),293-b peachtree rd.
186,404/875-8424,atlanta,veni vidi vici,italian,41 14th st.
187,404-875-8424,atlanta,veni vidi vici,italian,41 14th st.
188,415/387-0408,san francisco,alain rondelli,french,126 clement st.
189,415-387-0408,san francisco,alain rondelli,french (new),126 clement st.
190,415/956-9662,san francisco,aqua,seafood,252 california st.
191,415-956-9662,san francisco,aqua,american (new),252 california st.
192,415/543-6084,san francisco,boulevard,american,1 mission st.
193,415-543-6084,san francisco,boulevard,american (new),1 mission st.
194,415/392-3505,san francisco,cafe claude,french,7 claude la.
195,415-392-3505,san francisco,cafe claude,french bistro,7 claude ln.
196,415/955-5555,san francisco,campton place,american,340 stockton st.
197,415-955-5555,san francisco,campton place,american (new),340 stockton st.
198,415/775-7036,san francisco,chez michel,french,804 northpoint
199,415-775-7036,san francisco,chez michel,californian,804 north point st.
200,415/673-7779,san francisco,fleur de lys,french,777 sutter st.
201,415-673-7779,san francisco,fleur de lys,french (new),777 sutter st.
202,415/543-0573,san francisco,fringale,french,570 4th st.
203,415-543-0573,san francisco,fringale,french bistro,570 fourth st.
204,415/777-9779,san francisco,hawthorne lane,american,22 hawthorne st.
205,415-777-9779,san francisco,hawthorne lane,californian,22 hawthorne st.
206,415/668-6654,san francisco,khan toke thai house,asian,5937 geary blvd.
207,415-668-6654,san francisco,khan toke thai house,thai,5937 geary blvd.
208,415/776-5577,san francisco,la folie,french,2316 polk st.
209,415-776-5577,san francisco,la folie,french (new),2316 polk st.
210,415/495-5775,san francisco,lulu,mediterranean,816 folsom st.
211,415-495-5775,san francisco,lulu restaurant-bis-cafe,mediterranean,816 folsom st.
212,415/989-7154,san francisco,masa's,french,648 bush st.
213,415-989-7154,san francisco,masa's,french (new),648 bush st.
214,415/922-0337,san francisco,mifune japan center  kintetsu building,asian,1737 post st.
215,415-922-0337,san francisco,mifune,japanese,1737 post st.
216,415/563-4755,san francisco,plumpjack cafe,mediterranean,3201 fillmore st.
217,415-563-4755,san francisco,plumpjack cafe,american (new),3127 fillmore st.
218,415/776-7825,san francisco,postrio,american,545 post st.
219,415-776-7825,san francisco,postrio,californian,545 post st.
220,415/296-7465,san francisco,ritz-carlton restaurant and dining room,american,600 stockton st.
221,415-296-7465,san francisco,ritz-carlton dining room (san francisco),french (new),600 stockton st.
222,415/399-0499,san francisco,rose pistola,italian,532 columbus ave.
223,415-399-0499,san francisco,rose pistola,italian,532 columbus ave.
224,310/475-9807,los angeles,adriano's ristorante,italian,2930 beverly glen circle
225,310/777-5877,beverly hills,barney greengrass,american,9570 wilshire blvd.
226,310/456-5733,malibu,beaurivage,french,26025 pacific coast hwy.
227,310/550-3900,los angeles,bistro garden,californian,176 n. canon dr.
228,310/451-1655,los angeles,border grill,mexican,4th st.
229,310/451-0616,santa monica,broadway deli,american,3rd st. promenade
230,213/938-2863,los angeles,ca'brea,italian,346 s. la brea ave.
231,818/985-4669,los angeles,ca'del sol,italian,4100 cahuenga blvd.
232,213/239-6500,los angeles,cafe pinot,californian,700 w. fifth st.
233,310/275-1101,los angeles,california pizza kitchen,californian,207 s. beverly dr.
234,213/651-2030.,los angeles,canter's,american,419 n. fairfax ave.
235,213/658-8898,los angeles,cava,mediterranean,3rd st.
236,213/664-7723,los angeles,cha cha cha,caribbean,656 n. virgil ave.
237,213/467-1052,los angeles,chan dara,asian,310 n. larchmont blvd.
238,818/356-0959,los angeles,clearwater cafe,health food,168 w. colorado blvd.
239,310/275-5200,los angeles,dining room,californian,9500 wilshire blvd.
240,310/788-,los angeles,dive!,dive american,10250 santa monica blvd.
241,310/828-1585,santa monica,drago,italian,2628 wilshire blvd.
242,310/358-8585,los angeles,drai's,french,730 n. la cienega blvd.
243,310/208-8765,los angeles,dynasty room,continental,930 hilgard ave.
244,310/724-5959,los angeles,eclipse,californian,8800 melrose ave.
245,310/659-1952,los angeles,ed debevic's,american,134 n. la cienega
246,213/734-2773,los angeles,el cholo,mexican,1121 s. western ave.
247,310/392-3901,santa monica,gilliland's,american,2424 main st.
248,310/454-3474,pacific palisades,gladstone's,american,4 fish 17300 pacific coast hwy. at sunset blvd.
249,310/276-7605,los angeles,hard rock cafe,american,8600 beverly blvd.
250,310/277-2333,los angeles,harry's bar & american grill,italian,2020 ave. of the stars
251,310/550-8330,los angeles,il fornaio cucina italiana,italian,301 n. beverly dr.
252,310/837-6662,los angeles,jack sprat's grill,health food,10668 w. pico blvd.
253,310/273-5578,los angeles,jackson's farm,californian,439 n. beverly drive
254,310/552-2394,los angeles,jimmy's,continental,201 moreno dr.
255,310/276-1886,los angeles,joss,asian,9255 sunset blvd.
256,310/289-0660,los angeles,le colonial,asian,8783 beverly blvd.
257,310/659-6919,los angeles,le dome,french,8720 sunset blvd.
258,213/667-0777,los angeles,louise's trattoria,italian,4500 los feliz blvd.
259,213/628-6717,los angeles,mon kee seafood restaurant,asian,679 n. spring st.
260,310/276-5205,los angeles,morton's,american,8764 melrose ave.
261,310/274-0101,los angeles,nate 'n' al's,american,414 n. beverly dr.
262,213/485-0927,los angeles,nicola,american,601 s. figueroa st.
263,310/394-5669,santa monica,ocean avenue,american,1401 ocean ave.
264,310/479-4187,los angeles,orleans,cajun,11705 national blvd.
265,213/483-6000,los angeles,pacific dining car,american,6th st.
266,818/761-9126,toluca lake,paty's,american,10001 riverside dr.
267,213/461-8800,los angeles,pinot hollywood,californian,1448 n. gower st.
268,818/784-4400,sherman oaks,posto,italian,14928 ventura blvd.
269,310/277-7346,los angeles,prego,italian,362 n. camden dr.
270,310/274-7427,los angeles,rj's the rib joint,american,252 n. beverly dr.
271,310/393-6545,santa monica,remi,italian,3rd st. promenade
272,213/680-9355,los angeles,restaurant horikawa,asian,111 s. san pedro st.
273,213/466-9329,los angeles,roscoe's house of chicken 'n' waffles,american,1514 n. gower st.
274,310/399-4800,los angeles,schatzi on main,continental,3110 main st.
275,213/651-0346,los angeles,sofi,mediterranean,3rd st.
276,213/653-5858,los angeles,swingers,american,8020 beverly blvd.
277,213/658-6340,los angeles,tavola calda,italian,7371 melrose ave.
278,310/859-0926,los angeles,the mandarin,asian,430 n. camden dr.
279,213/937-5733,los angeles,tommy tang's,asian,7313 melrose ave.
280,310/456-0169,los angeles,tra di noi,italian,3835 cross creek rd.
281,310/276-6345,los angeles,trader vic's,asian,9876 wilshire blvd.
282,213/660-4446,los feliz,vida,american,1930 north hillhurst ave.
283,310/823-5396,los angeles,west beach cafe,american,60 n. venice blvd.
284,212/964-0380,new york,20 mott,asian,20 mott st.  between bowery and pell st.
285,212/989-1220,new york,9 jones street,american,9 jones st.
286,212/903-3918,new york,adrienne,french,700 5th ave. at 55th st.
287,212/473-2602,new york,agrotikon,mediterranean,322 e. 14 st.  between 1st and 2nd aves.
288,212/473-8388,new york,aja,american,937 broadway at 22nd st.
289,212/ 759-0590,new york,alamo,mexican,304 e. 48th st.
290,212/627-8899,new york,alley's end,american,311 w. 17th st.
291,212/702-5014,new york,ambassador grill,american,1 united nations plaza at 44th st.
292,212/684-2122,new york,american place,american,2 park ave. at 32nd st.
293,212/308-0112,new york,anche vivolo,italian,222 e. 58th st.  between 2nd and 3rd aves.
294,212/838-0440,new york,arizona,american,206 206 e. 60th st.
295,212/677-3820,new york,arturo's,italian,106 w. houston st.  off thompson st.
296,212/385-0313,new york,au mandarin,asian,200-250 vesey st. world financial center
297,212/355-1112,new york,bar anise,mediterranean,1022 3rd ave.  between 60th and 61st sts.
298,212/246-9171,new york,barbetta,italian,321 w. 46th st.
299,212/581-8888,new york,ben benson's,american,123 w. 52nd st.
300,212/206-0059,new york,big cup,coffee bar,228 8th ave.  between 21st and 22nd sts.
301,212/753-1870,new york,billy's,american,948 1st ave.  between 52nd and 53rd sts.
302,212/473-0108,new york,boca chica,latin american,13 1st ave.  near 1st st.
303,212/228-2200,new york,bolo,mediterranean,23 e. 22nd st.
304,212/249-8484,new york,boonthai,asian,1393a 2nd ave.  between 72nd and 73rd sts.
305,212/758-0323,new york,bouterin,french,420 e. 59th st.  off 1st ave.
306,212/727-2775,new york,brothers bar-b-q,american,225 varick st. at clarkston st.
307,212/688-4190,new york,bruno,italian,240 e. 58th st.
308,212/840-6500,new york,bryant park grill  roof restaurant and bp cafe,american,25 w. 40th st.  between 5th and 6th aves.
309,212/254-1200,new york,c3,american,103 waverly pl.  near washington sq.
310,212/995-8500,new york,ct,french,111 e. 22nd st.  between park ave. s and lexington ave.
311,212/988-2655,new york,cafe bianco,coffee bar,1486 2nd ave.  between 77th and 78th sts.
312,212/484-5120,new york,cafe botanica,french,160 central park s
313,212/724-5846,new york,cafe la fortuna,coffee bar,69 w. 71st st.
314,212/873-7411,new york,cafe luxembourg,french,200 w. 70th st.
315,212/940-8185,new york,cafe pierre,french,2 e. 61st st.
316,212/818-1222,new york,cafe centro,french,200 park ave.  between 45th st. and vanderbilt ave.
317,212/924-7653,new york,cafe fes,mediterranean,246 w. 4th st. at charles st.
318,212/982-5275,new york,caffe dante,coffee bar,81 macdougal st.  between houston and bleeker sts.
319,212/645-4431,new york,caffe dell'artista,coffee bar,46 greenwich ave.
320,212/473-2642,new york,caffe lure,french,169 sullivan st.  between houston and bleecker sts.
321,212/475-9557,new york,caffe reggio,coffee bar,119 macdougal st.  between 3rd and bleecker sts.
322,212/226-8413,new york,caffe roma,coffee bar,385 broome st. at mulberry
323,212/691-7538,new york,caffe vivaldi,coffee bar,32 jones st. at bleecker st.
324,212/691-8136,new york,caffe bondi ristorante,italian,7 w. 20th st.
325,212/966-4900,new york,capsouto freres,french,451 washington st.  near watts st.
326,212/697-9538,new york,captain's table,seafood,860 2nd ave. at 46th st.
327,212/505-0005,new york,casa la femme,middle eastern,150 wooster st.  between houston and prince sts.
328,212/343-9012,new york,cendrillon asian grill & marimba bar,asian,45 mercer st.  between broome and grand sts.
329,212/505-0727,new york,chez jacqueline,french,72 macdougal st.  between w. houston and bleecker sts.
330,212/371-2323,new york,chiam,asian,160 e. 48th st.
331,212/333-7788,new york,china grill,american,60 w. 53rd st.
332,212/956-7100,new york,cite,french,120 w. 51st st.
333,212/794-0205,new york,coco pazzo,italian,23 e. 74th st.
334,212/421-0334,new york,columbus bakery,coffee bar,53rd sts.
335,212/753-5100,new york,corrado cafe,coffee bar,1013 3rd ave.  between 60th and 61st sts.
336,212/465-1530,new york,cupcake cafe,coffee bar,522 9th ave. at 39th st.
337,212/343-1212,new york,da nico,italian,164 mulberry st.  between grand and broome sts.
338,212/254-8776,new york,dean & deluca,coffee bar,121 prince st.
339,212/941-9024,new york,diva,italian,341 w. broadway  near grand st.
340,212/645-8023,new york,dix et sept,french,181 w. 10th st.
341,212/ 986-8080,new york,docks,seafood,633 3rd ave. at 40th st.
342,212/732-5555,new york,duane park cafe,american,157 duane st.  between w. broadway and hudson st.
343,212/941-7070,new york,el teddy's,mexican,219 w. broadway  between franklin and white sts.
344,212/996-1212,new york,emily's,american,1325 5th ave. at 111th st.
345,212/725-1333,new york,empire korea,asian,6 e. 32nd st.
346,212/496-1588,new york,ernie's,american,2150 broadway  between 75th and 76th sts.
347,212/744-3266,new york,evergreen cafe,asian,1288 1st ave. at 69th st.
348,212/226-4621,new york,f. ille ponte ristorante,italian,39 desbrosses st.  near west st.
349,212/431-0021,new york,felix,french,340 w. broadway at grand st.
350,212/772-9000,new york,ferrier,french,29 e. 65th st.
351,212/758-5757,new york,fifty seven fifty seven,american,57 e. 57th st.
352,212/ 262-2525,new york,film center cafe,american,635 9th ave.  between 44th and 45th sts.
353,212/595-5330,new york,fiorello's roman cafe,italian,1900 broadway  between 63rd and 64th sts.
354,212/595-3139,new york,firehouse,american,522 columbus ave.  between 85th and 86th sts.
355,212/674-3823,new york,first,american,87 1st ave.  between 5th and 6th sts.
356,212/874-3474,new york,fishin eddie,seafood,73 w. 71st st.
357,212/355-2020,new york,fleur de jour,coffee bar,348 e. 62nd st.
358,212/691-8888,new york,flowers,american,21 west 17th st.  between 5th and 6th aves.
359,212/691-6359,new york,follonico,italian,6 w. 24th st.
360,212/269-0144,new york,fraunces tavern,american,54 pearl st. at broad st.
361,212/533-2233,new york,french roast,french,458 6th ave. at 11th st.
362,212/799-1533,new york,french roast cafe,coffee bar,2340 broadway at 85th st.
363,212/564-7272,new york,frico bar,italian,402 w. 43rd st.  off 9th ave.
364,212/769-1144,new york,fujiyama mama,asian,467 columbus ave.  between 82nd and 83rd sts.
365,212/961-0574,new york,gabriela's,mexican,685 amsterdam ave. at 93rd st.
366,212/245-5336,new york,gallagher's,american,228 w. 52nd st.
367,212/608-7300,new york,gianni's,seafood,15 fulton st.
368,212/752-3054,new york,girafe,italian,208 e. 58th st.  between 2nd and 3rd aves.
369,212/477-8427,new york,global,american,33 93 2nd ave.  between 5th and 6th sts.
370,212/ 941-0911,new york,golden unicorn,asian,18 e. broadway at catherine st.
371,212/777-5922,new york,grand ticino,italian,228 thompson st.  between w. 3rd and bleecker sts.
372,212/468-8888,new york,halcyon,american,151 w. 54th st.  in the rihga royal hotel
373,212/489-6565,new york,hard rock cafe,american,221 w. 57th st.
374,212/249-3600,new york,hi-life restaurant and lounge,american,1340 1st ave. at 72nd st.
375,212/243-9579,new york,home,american,20 cornelia st.  between bleecker and w. 4th st.
376,212/786-1500,new york,hudson river club,american,4 world financial center
377,212/481-7372,new york,i trulli,italian,122 e. 27th st.  between lexington and park aves.
378,212/226-6060,new york,il cortile,italian,125 mulberry st.  between canal and hester sts.
379,212/753-8450,new york,il nido,italian,251 e. 53rd st.
380,212/966-3371,new york,inca grill,latin american,492 broome st.  near w. broadway
381,212/505-5111,new york,indochine,asian,430 lafayette st.  between 4th st. and astor pl.
382,212/ 614-0747,new york,internet cafe,coffee bar,82 e. 3rd st.  between 1st and 2nd aves.
383,212/730-5848,new york,ipanema,latin american,13 w. 46th st.
384,212/751-2323,new york,jean lafitte,french,68 w. 58th st.
385,212/869-5544,new york,jewel of india,asian,15 w. 44th st.
386,212/682-5678,new york,jimmy sung's,asian,219 e. 44th st.  between 2nd and 3rd aves.
387,212/581-6464,new york,joe allen,american,326 w. 46th st.
388,212/582-5252,new york,judson grill,american,152 w. 52nd st.
389,212/794-4950,new york,l'absinthe,french,227 e. 67th st.
390,212/288-8791,new york,l'auberge,middle eastern,1191 1st ave.  between 64th and 65th sts.
391,212/242-4705,new york,l'auberge du midi,french,310 w. 4th st.  between w. 12th and bank sts.
392,212/388-0978,new york,l'udo,french,432 lafayette st.  near astor pl.
393,212/247-2993,new york,la reserve,french,4 w. 49th st.
394,212/674-7014,new york,lanza restaurant,italian,168 1st ave.  between 10th and 11th sts.
395,212/315-0980,new york,lattanzi ristorante,italian,361 w. 46th st.
396,212/431-0700,new york,layla,middle eastern,211 w. broadway at franklin st.
397,212/751-2931,new york,le chantilly,french,106 e. 57th st.
398,212/ 752-0808,new york,le colonial,asian,149 e. 57th st.
