id,venue,address,pages,year,author,publisher,title,editor,note,month,volume,institution
45,"in proceedings of the eighteenth annual acm symposium on theory of computing,","san diego, ca,","pages 382-391,",1993.,"n. cesa-bianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m. warmuth.",,how to use expert advice.,,,may,,
46,"in proc. 25th symposium on the theory of computing,","new york, ny,",pages 382-391.,1993.,"n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.","acm press,",how to use expert advice.,,,,,
47,"in proceedings of the 43 twenty-fifth annual acm symposium on the theory of computing,",,"pages 382-391,",1993.,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,,,,
48,"in proceedings of the twenty fifth annual acm symposium on theory of computing,",,"pages 382-391,",1993.,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,references 17,may,,
49,"proceedings of the 25th acm symposium on the theory of computation,",,,1993.,"n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.",,how to use expert advice.,,,,,
50,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,"pages 382-391,",1993.,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e schapire, and manfred k warmuth.",,how to use expert advice.,,,,,
51,"proceedings of stoc93,",,"pp. 382-391,",1993.,"n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k.",,"warmuth 'how to use expert advice',",,,,,
52,"in computational learning theory: eurocolt '93, volume new series number 53 of the institute of mathematics and its applications conference series,","oxford, 1994.","pages 205-216,",,"n. cesa-bianchi, y. freund, d. p. helmbold, and m. warmuth.",oxford university press.,on-line predic tion and conversion strategies.,,,,,
53,"in computational learning theory: eurocolt '93, volume new series number 53 of the institute of mathematics and its applications conference series,","oxford, 1994.","pages 205-216,",,"n. cesa-bianchi, y. freund, d. p. helmbold, and m. warmuth.",oxford university press.,on-line prediction and conversion strategies.,,,,,
54,"the institute of mathematics and its applications,",,,(1994).,"cesa-bianchi, n., freund, y., helmbold,",m.k.,on-line prediction and conversion strategies. in proceedings of the first euro-colt workshop.,,to appear.,,,
55,in computational learning theory:,,"pages 205-216,",(1994).,"cesa-bianchi, n., freund, y., helmbold, d. p., and warmuth, m.",oxford. oxford university press.,on-line prediction and conversion strategies.,,,,"eurocolt '93,",
56,in computational learning theory:,,pages 205-216.,(1994).,"cesa-bianchi, n., freund, y., helmbold, d. p., and warmuth, m.",oxford university press.,on-line prediction and conversion strategies.,,,,"eurocolt '93,",
57,"in computational learning theory: eurocolt '93, volume new series number 53 of the institute of mathematics and its applications conference series,",,"pages 205-216,",1994.,"cesa-bianchi, n., y. freund, d. p. helmbold, and m. warmuth.",oxford. oxford university press.,on-line prediction and conversion strategies.,,,,,
58,in computational learning theory:,"oxford, 1994.","pages 205-216,",,"n. cesa-bianchi, y. freund, d. p. helmbold, and m. warmuth.",oxford university press.,on-line prediction and conversion strategies.,,,,"eu-rocolt '93,",
59,"in eurocolt,",,pages 205-216.,1993.,"n. cesa-bianchi, y. freund, d.p. helmbold, and m. warmuth.","clarendon press,",on-line prediction and conversion strategies.,,,,,
60,"in computational learning theory: eurocolt '93, volume new series number 53 of the institute of mathematics and its applications conference series,","oxford, 1994.","pages 205-216,",,"n. cesa-bianchi, y. freund, d. p. helmbold, and m. warmuth.",oxford university press.,on-line prediction and conversion strategies.,,,,,
61,"the 1993 ima european conference on computational learning theory,",,,1993.,"n. cesa-bianchi, y. freund, d. helmbold, and m.k. warmuth.",,on-line prediction and conversion strategies.,,,,,
62,"in computational learning theory: eurocolt '93, volume new series number 53 of the institute of mathematics and its applications confer--ence series,","oxford, 1994.","pages 205-216,",,"n. cesa-bianchi, y. freund, d. p. helm-bold, and m. warmuth.",oxford university press.,on-line prediction and conversion strategies.,,,,,
63,"technical report ucsc-crl-94-33,",,,"(1994),","cesa-bianchi, n., freund, y., haussler, d., helmbold, d. p., schapire, r. e. & warmuth, m. k.",,"how to use expert advice,",,an extended abstract appeared in stoc '93.,,,"univ. of calif. computer research lab, santa cruz, ca."
64,"computer research laboratory. an extended abstract appeared in 'proceedings, 25th annual acm symposium on the theory of computing,'",new york.,"pp. 382-381,","(1994),","cesa-bianchi, n., freund, y., haussler, d., helmbold, d. p., schapire, r. e., and warmuth, m. k.","acm press,","'how to use expert advice,'",,,,,"university of california,"
65,tech. rep.,,,1994.,"n. cesa-bianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth,",,"'how to use expert advice',",,,,,"ucsc-crl-94-33, university of california, santa cruz,"
66,"technical report ucsc-crl-94-33,","santa cruz, ca,",,1994.,"n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.",,how to use expert advice.,,an extended abstract appeared in stoc '93.,,,"univ. of calif. computer research lab,"
67,tech. rep.,,,1994.,"n. cesa-bianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth,",,"'how to use expert advice,'",,,,,"ucsc-crl-94-33, university of california, santa cruz,"
68,"technical report ucsc-crl-94-33,","santa cruz, ca,",,1994.,"n. cesa-bianchi, y. freund ,d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth.",,how to use expert advice.,,an extended abstract appeared in stoc '93.,,,"univ. of calif. computer research lab,"
69,"technical report ucsc-crl-94-33,","santa cruz, ca,",,1994.,"n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. war-muth.",,how to use expert advice.,,an extended abstract appeared in stoc '93.,,,"univ. of calif. computer research lab,"
70,"technical report ucsc-crl-94-33,","santa cruz, ca,",,1994.,"n. cesa-bianchi, y. freund, d. p. helmbold, d. haussler, r. e. schapire, and m. k. warmuth.",,how to use expert advice.,,an extended abstract appeared in stoc '93.,,,"univ. of calif. computer research lab,"
71,"machine learning,",,"pp. 71-110,",1996.,"n. cesa-bianchi, y. freund, d. p. helmbold, and m. k. warmuth,",,"'on-line prediction and conversion strategies,'",,,,"vol. 25,",
72,"machine learning,",,,1995.,"n. cesa-bianchi, y. freund, d. p. helmbold, and m. k. warmuth.",,on--line prediction and conversion strategies.,,"to appear, an extended abstract appeared in eurocolt `93.",,,
73,"machine learning,",,,1996.,"n. cesa-bianchi, y. freund,",,"d.p. helmbold, and m.k. warmuth. on-line prediction and conversion strategies.",,to appear.,,,
74,"journal of the acm,",,427-485.,(1997).,"cesa-bianchi, n., freund, y., haussler, d., helmbold, d. p., schapire, r. e., & warmuth, m. k.",,how to use expert advice.,,,,"44(3),",
75,"journal of the association for computing machinery,",,"427-485,",1997.,"nicolo cesa-bianchi, yoav freund, david haussler, david p. helmbold, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,,may,44(3),
76,"journal of the association for computing machinery,",,"427-485,",1997.,"nicolo cesa-bianchi, yoav freund, david haussler, david p. helmbold, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,,may,44(3),
77,"journal of the acm,",,"pp. 427-485,",1997.,"n. cesa-bianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth,",,"'how to use expert advice,'",,,,"vol. 44,",
78,"journal of the acm,",,"pp. 427-485,",1997.,"n. cesa-bianchi, y. freund, d. haussler, d. p. helmbold, r. e. schapire, and m. k. warmuth,",,"'how to use expert advice,'",,,,"vol. 44,",
79,,,,1997.,"william w. cohen, rob schapire, and yoram singer.",,learning to order things.,,"to appear in nips-97,",,,
80,"in advances in neural information processing systems 10,",,,1997.,"william w. cohen, robert e. schapire, and yoram singer.",,learning ro order things.,,,,,
81,"in advances in neural information processing systems 10,",,,1998.,"william w. cohen, robert e. schapire, and yoram singer.",,learning to order things.,,,,,
82,"in advances in neural information processing systems 10,",,,1998.,"w. w. cohen, r. e. shapire, and y. singer.",,learning to order things.,,,,,
83,"in proceedings of the 13th international conference on machine learning,",,pages 96-104.,1996.,"t. g. dietterich, m. kearns, and y. mansour.","morgan kaufmann,",applying the weak learning framework to understand and improve c4.5.,,,,,
84,"in proceedings of the 13th international conference on machine learning,",,(pp. 96-104).,(1996).,"dietterich, t. g., kearns, m., & mansour, y.",morgan kaufmann.,applying the weak learning framework to understand and improve c4.5.,,,,,
85,"in proceedings of the thirteenth international conference on machine learning,","bari, italy.",,(1996).,"dietterich, t., kearns, m., & mansour, y.",,applying the weak learning framework to understand and improve c4.5.,,,,,
86,proc. thirteenth intl. conf. machine learning (pp.,,96-104).,(1996).,"dietterich, t., kearns, m., & mansour, y.",,applying the weak learning framework to understand and improve c4.5.,,,,,
87,to appear in proceedings of the thirteenth international conference on machine learning.,"bari, italy:",,,"dietterich, t., m. kearns, and y.",morgan kaufmann.,mansour (1996). applying the weak learning framework to un-derstand and improve c4.5.,,,,,
88,to appear in proceedings of the thirteenth international conference on machine learning.,"bari, italy:",,,"dietterich, t., m. kearns, and y.",morgan kaufmann.,mansour (1996). applying the weak learning framework to understand and improve c4.5.,,,,,
89,"in proceedings of the 13th international conference on machine learning,",,"pages 96-104,",1996.,"t. dietterich, m. kearns, and y. mansour.",,applying the weak learning framework to understand and improve c4.5.,,,,,
90,"in machine learning: proceedings of the thirteenth international conference,",,,1996.,"tom dietterich, michael kearns, and yishay mansour.",,applying the weak learning framework to understand and improve c4.5.,,,,,
91,in machine learning: proceedings of the international conference.,,,1996.,"t. dietterich, m. kearns, and y. mansour.","morgan kaufmann,",applying the weak learning framework to understand and improve c4.5.,,,,,
92,"unpublished manuscript,",,,1996.,"t. dietterich, m. kearns, and y. mansour.",,applying the weak learning framework to understand and improve c4.5.,,,,,
93,"advances in neural information processing systems,",,pages 42-49.,1993.,"h. drucker, r. schapire, and p. simard.","morgan kaufmann,",improving performance in neural networks using a boosting algorithm.,"in steven j. hanson, jack d. cowan, and c. lee giles, editors,",,,"volume 5,",
94,"advances in neural information processing systems,",,pages 42-49.,1993.,"h. drucker, r. schapire, and p. simard.","morgan kaufmann,",improving performance in neural networks using a boosting algorithm.,"in steven j. hanson, jack d. cowan, and c. lee giles, editors,",,,"volume 5,",
95,in advances in neural information processing systems (vol. 4).,san francisco:,,(1992).,"drucker, h., schapire, r., & simard, p.",morgan kaufmann.,improving performance in neural networks using a boosting algorithm.,,,,,
96,"advances in neural information processing systems (volume 5),","palo alto, ca.","(pp. 42-49),",(1992).,"drucker, h., schapire, r., & simard, p.",morgan kaufmann.,improving performance in neural networks using a boosting algorithm.,"in hanson, j., cowan, j., & giles, c., editors,",,,,
97,advances in neural information processing systems (volume 5).,"san mateo, ca.",,(1993).,"drucker, h., schapire, r., & simard, p.","morgan kaufmann,",improving performance in neural networks using a boosting algorithm.,"in hanson, s. j., cowan, j. d., & giles, c. l., editors,",,,,
98,"advances in neural information processing systems,",,42-49.,(1993).,"drucker, h., schapire, r., & simard, p.",,improving the performance in neural networks using a boosting algorithm.,,,,"5,",
99,"advances in neural information processing systems,",,(pp. 42-49).,(1973).,"r. & hart, p.",addison-wesley.,pattern classification and scene analysis.,"in hanson, s. j., cowan, j. d., & giles, c. l. (eds.),","morgan kaufmann. 198 duda,",,"volume 5,",
100,"advances in neural information processing systems,",,pages 42-49.,(1993).,"drucker, h., schapire, r., and simard, p.",morgan kaufmann.,improving performance in neural networks using a boosting algorithm.,"in hanson, s. j., cowan, j. d., and giles, c. l., editors,",,,"volume 5,",
101,"advances in neural information processing systems 5,","san mateo, ca.","pages 42-49,",1993.,"drucker, h., schapire, r., and simard, r.",morgan kaufmann.,improving performance in neural networks using a boosting algorithm.,"in hanson, s. j., cowan, j. d., and giles, c. l., editors,",,,,
102,"in advances in neural informations processing systems 5,","san ma-teo, ca.",42-49.,,"drucker, harris; schapire, robert; and simard,",morgan kaufmann.,patrice 1993. improving performance in neural networks using a boosting algorithm.,,,,,
103,"in advances in neural information processing systems 5,","42-49,",,,"drucker, h., schapire, r., simard, p.",morgan kaufmann.,"(1993) 'improving performance in neural networks using a boosting algorithm,'","s. j. hanson, j. cowan, l. giles (eds.),",,,,
104,"advances in neural information processing systems 5,",,42-49. 14,"1993,","drucker, schapire and simard,",,"improving performance in neural networks using a boosting algorithm,",,,,,
105,"advances in neural information processing systems 5,",,pages 42-49.,1993.,"harris drucker, robert schapire, and patrice simard.","morgan kaufmann,",improving performance in neural networks using a boosting algorithm.,"in steven j. hanson, jack d. cowan, and c. lee giles, editors,",,,,
106,in advances in neural information processing systems.,,,1992.,"harris drucker, robert schapire, and patrice simard.","morgan kaufmann,",improving performance in neural networks using a boosting algorithm.,,,,,
107,"in advances in neural information processing systems 5,","san mateo, ca,","pp. 42-49,","1993,","h. drucker, r. schapire, and p. simard,",morgan kaufmann.,"'improving performance in neural networks using a boosting algorithm,'","s. j. han-son, j. d. cowan, and c. l. giles, eds.,",,,,
108,"in advances in neural information processing systems 5,","42-49,",,,"drucker, h., schapire, r., simard, p.",morgan kaufmann.,"(1993) 'improving performance in neural networks using a boosting algorithm,'","s. j. hanson, j. cowan, l. giles (eds.),",,,,
109,"in advances in neural information processing systems 5,",,"pages 42-49,",1993.,"harris drucker, robert schapire, and patrice simard.",,improving performance in neural networks using a boosting algorithm.,,,,,
110,"in advances in neural informations processing systems 5,","san mateo, ca, 1993.","pages 42-49,",,"harris drucker, robert schapire, and patrice simard.",morgan kaufmann.,improving performance in neural networks using a boosting algorithm.,,,,,
111,"in proceedings of the fifth conf. on neural informations processing systems,","san mateo, ca, 1993.",,,"harris drucker, robert e. schapire, and ptrice simard.",morgan kaufmann.,improving performance in neural networks using a boosting algorithm.,,,,,
112,"international journal of pattern recognition and artificial intelligence,",,,,"h. drucker, r. schapire, and p. simard.",,boosting performance in neural networks.,,[to appear].,,,
113,"international journal of pattern recognition and artificial intelligence,",,,1993.,"harris drucker, robert schapire, and patrice simard.",,boosting performance in neural net-works.,,,,"7(4):705719,",
114,"international journal of pattern recognition and artificial intelligence,",,"705-719,",1993.,"harris drucker, robert schapire, and patrice simard.",,boosting performance in neural networks.,,,,7(4),
115,"advances in neural information processing systems,",,pp. 42-49.,"(1993),","drucker, h., r. schapire & p.",,"improving the performance in neural networks using a boosting algorithm,",,,simad,"5,",
116,"`neural information processing systems',",,pp. 42-49.,"(1993),","drucker, h., schapire, r. & simard, p.","morgan kauffmann,","improving performance in neural networks using a boosting algorithm,","in s. hanson, j. cowan & c. giles, eds,",,,,
117,"international journal of pattern recognition and artificial intelligence,",,705-720.,(1993).,"drucker, h., schapire, r. e., & simard, p.",,boosting performance in neural networks.,,,,"7 (4),",
118,"intl. j. pat. recog. art. intel.,",,705-719.,(1993).,"drucker, h., schapire, r., & simard, p.",,boosting performance in neural networks.,,,,"7,",
119,"international journal of pattern recognition and artificial intelligence,",,705-719.,(1993a).,"drucker, h., schapire, r., & simard, p.",,boosting performance in neural networks.,,,,"7 (4),",
120,international journal of pattern recognition and artificial intelligence 7(4),,705-719.,,"drucker, harris; schapire, robert; and simard,",,patrice up . boosting performance in neural networks.,,,,,
121,"international journal of pattern recognition and artificial intelligence,",,"705-719,",1993.,"h. drucker, r. schapire, and p. simard.",,boosting performance in neural networks.,,,,7(4),
122,"international journal of pattern recognition and artificial intelligence,",,"705-719,",1993.,"harris drucker, robert schapire, and patrice simard.",,boosting performance in neural networks.,,,,4,
123,"international journal of pattern recognition and artificial intelligence,",,"pp. 705-719,",1993.,"h. drucker, r. schapire, and p. simard,",,"'boosting performance in neural networks,'",,,,"vol. 7, no. 4,",
124,"international journal of pattern recognition and artificial intelligence,",,,1993.,"harris drucker, robert schapire, and patrice simard.",,boosting performance in neural networks.,,,,"7(4):705 719,",
125,"international journal of pattern recognition and artificial intelligence,",,"705-719,",1993.,"harris drucker, robert schapire, and patrice simard.",,boosting performance in neural networks.,,,,7(4),
126,"intl. j. pat. recog. art. intel.,",,,1993.,"h. drucker, r. schapire, and p. simard.",,boosting performance in neural networks.,,to appear.,,,
127,"international journal of pattern recognition and artificial intelligence,",,"705-719,",1993.,"harris drucker, robert schapire, and patrice simard.",,boosting performance in neural networks.,,,,7(4),
128,"advances in neural information processing systems,",,42-49.,"1993,","h. druker, r. schapire, p. simard,","morgan kaufmann,","improving performance in neural networks using a boosting algorithm,",,,,"vol. 5,",
129,in proceedings colt-88.,,,(1988).,"ehrenfeucht, a., haussler, d., kearns, m., and valiant, l.",,a general lower bound on the number of examples needed for learning.,,,,,
130,"in proceedings of the first workshop on computational learning theory,","boston, ma:",139-154.,1988.,"ehrenfeucht, a.; haussler, d.; kearns, m.; and valiant, l.g.",morgan kaufmann.,a general lower bound on the number of examples needed for learning.,,,,,
131,"technical report ucsc-crl-87-26,","santa cruz, ca,",,1988.,"a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.",,a general lower bound on the number of examples needed for learning.,,,jan-uary,,"university of california, computer research laboratory,"
132,"in colt 88: proceedings of the conference on learning,","los altos, ca, 1988.","pages 110-120,",,"a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.",morgan-kaufmann.,a general lower bound on the number of examples needed for learning.,,,,,
133,"in: proceedings of the first workshop on computational learning theory (morgan kaufmann,","san mateo, ca,",,1988),"a. ehrenfeucht, d. haussler, m. kearns and l. g. valiant,",,"a general lower bound on the number of examples needed for learning,",,,139-154.,,
134,"proceedings of the 1988 workshop on computational learning theory,",,p. 139-154.,"1988,","ehrenfeucht, a., haussler, d., kearns, m., and valiant, l.,","morgan kaufmann,","a general lower bound on the number of examples needed for learning,",,,,,
135,"proc. of the 1988 workshop on computational learning theory,","san jose, 1988.",,,"a. ehrenfeucht, d. haussler, m. kearns, and l. valiant.",morgan kaufmann.,a general lower bound on the number of examples needed for learning.,"in d. haussler and l. pitt, editors,",,,,
